service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry,Artifact Registry Storage,3.0,global,149C-F9EC-3994,8502-299A-ABAF,0.25,
Secret Manager  (Secret Manager),Secret access operations,10000.0,global,EE82-7A5E-871C,EBA7-264F-2D2C,0,
Secret Manager  (Secret Manager),Secret version replica storage,4.0,global,EE82-7A5E-871C,7756-ADEF-84F4,0,
GKE (Kubernetes Engine),Zonal Kubernetes Clusters,1.0,global,CCD8-9BF1-090E,6B92-A835-08AB,73,
GKE (Kubernetes Engine),Regional Kubernetes Clusters,0.0,global,CCD8-9BF1-090E,B561-BFBD-1264,0,
GKE (Kubernetes Engine),Balanced PD Capacity,10.0,us-central1,CCD8-9BF1-090E,6AE1-525F-8B80,1,
GKE (Kubernetes Engine),E2 Instance Core running in Americas,182.5,us-central1,CCD8-9BF1-090E,CF4E-A0C7-E3BF,3.98062,
GKE (Kubernetes Engine),E2 Instance Ram running in Americas,730.0,us-central1,CCD8-9BF1-090E,F449-33EC-A5EF,2.13418,
MySQL  (Cloud SQL),Cloud SQL for MySQL: Regional - Micro instance in Americas,730.0,us-central1,9662-B51E-5089,322A-129A-5BF2,15.33,
MySQL  (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Americas,7300.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,1.7,
NAT Gateway (Networking),Networking Cloud Nat Gateway Uptime,1.0,global,E505-1604-58F8,32E2-4EFC-EF9F,1.022,
NAT Gateway (Networking),Networking Cloud Nat Data Processing,10.0,global,E505-1604-58F8,015F-5732-FFF0,0.45,
NAT Gateway (Networking),Networking Cloud NAT IP Usage,1.0,global,E505-1604-58F8,8515-9425-D2CE,3.65,
Cloud Load Balancing (Networking),Regional External Application Load Balancer Inbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,3F60-2E4F-0911,0.8,
Cloud Load Balancing (Networking),Regional External Application Load Balancer Outbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,B9BD-6489-535E,0.8,
Cloud Load Balancing (Networking),Regional Internal Proxy Network Load Balancer Inbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,9217-AAA3-E3BF,0.8,
Cloud Load Balancing (Networking),Regional External Proxy Network Load Balancer Forwarding Rule Minimum for Iowa (us-central1),1.0,,E505-1604-58F8,78A4-19DB-001F,18.25,
IP Address (Networking),External IP Charge on a Standard VM,0.0,global,6F81-5844-456A,C054-7F72-A02E,0,
IP Address (Networking),External IP Charge on a Spot Preemptible VM,1.0,global,6F81-5844-456A,4AF8-7C1F-39C4,1.825,
IP Address (Networking),Static Ip Charge,0.0,us-central1,6F81-5844-456A,66A2-68EA-56BE,0,
Cloud Storage,Network Data Transfer GCP Inter Region within Northern America,1.0,,95FF-2EF5-5EA1,8878-37D4-D2AC,0,
Cloud Storage,Standard Storage US Regional,1.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,0,
,,,,,,,
,,,,,Total Price:,124.99179,
,,,,,,,
"Prices are in US dollars, effective date is 2026-03-26T17:05:38.228Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEzTmpVek1EazJZeTA1TWpKaExUUmxZV1V0T1dFeU5DMDVaR1ptTWpGbFlUbGhZamdRQVE9PRokQTRGQTE0QjMtMjlCMy00REMwLUFDRUUtNDM1MDM5OERDMDE5,,,,,,
